LAT,LON,YEAR,DOY,WS10M_MAX,knots,avg,date,T,max,,,,,,,,,,,,
10.25,67.75,2024,1,4.07,7.912130638,10.23121811,Jan-01,nil,13.41368585,,,,,,,,,,,,
10.25,67.75,2024,2,5.3,10.30326594,10.44915214,Jan-02,nil,15.31881804,,,,,,,,,,,,
10.25,67.75,2024,3,5.47,10.63374806,10.1107405,Jan-03,nil,14.69673406,,,,,,,,,,,,
10.25,67.75,2024,4,8.34,16.21306376,12.7140119,Jan-04,nil,18.27371695,,,,,,,,,,,,
10.25,67.75,2024,5,8.67,16.85458787,13.81817686,Jan-05,nil,19.67340591,,,,,,,,,,,,
10.25,67.75,2024,6,7.3,14.19129082,14.13910944,Jan-06,nil,25.01944012,,,,,,,,,,,,
10.25,67.75,2024,7,4.63,9.000777605,11.49022196,Jan-07,nil,20.50933126,,,,,,,,,,,,
10.25,67.75,2024,8,2.86,5.559875583,10.64261548,Jan-08,nil,17.5155521,,,,,,,,,,,,
10.25,67.75,2024,9,3.67,7.134525661,12.32819364,Jan-09,nil,18.33203733,,,,,,,,,,,,
10.25,67.75,2024,10,3.74,7.270606532,10.92773731,Jan-10,nil,18.83748056,,,,,,,,,,,,
10.25,67.75,2024,11,5.55,10.78926905,12.22536561,Jan-11,nil,16.19362364,,,,,,,,,,,,
10.25,67.75,2024,12,4.99,9.700622084,12.39231194,Jan-12,nil,17.98211509,,,,,,,,,,,,
10.25,67.75,2024,13,6.86,13.33592535,10.59162779,Jan-13,nil,13.53032659,,,,,,,,,,,,
10.25,67.75,2024,14,5.98,11.6251944,13.55411517,Jan-14,nil,19.32348367,,,,,,,,,,,,
10.25,67.75,2024,15,7.46,14.50233281,14.29028198,Jan-15,nil,18.50699844,,,,,,,,,,,,
10.25,67.75,2024,16,6.72,13.06376361,13.96824098,Jan-16,nil,16.718507,,,,,,,,,,,,
10.25,67.75,2024,17,5.63,10.94479005,9.538024201,Jan-17,nil,11.52799378,,,,,,,,,,,,
10.25,67.75,2024,18,5.17,10.05054432,9.178893482,Jan-18,nil,13.14152411,,,,,,,,,,,,
10.25,67.75,2024,19,6.92,13.4525661,10.42254986,Jan-19,nil,14.28849145,,,,,,,,,,,,
10.25,67.75,2024,20,6.05,11.76127527,13.00228848,Jan-20,nil,16.75738725,,,,,,,,,,,,
10.25,67.75,2024,21,7.31,14.21073095,13.36133393,Jan-21,nil,18.17651633,,,,,,,,,,,,
10.25,67.75,2024,22,7.29,14.1718507,13.10690704,Jan-22,nil,17.5933126,,,,,,,,,,,,
10.25,67.75,2024,23,6.91,13.43312597,13.9080448,Jan-23,nil,16.97122862,,,,,,,,,,,,
10.25,67.75,2024,24,6.3,12.24727838,12.39631934,Jan-24,nil,17.24339036,,,,,,,,,,,,
10.25,67.75,2024,25,5.73,11.13919129,10.6747599,Jan-25,nil,17.41835148,,,,,,,,,,,,
10.25,67.75,2024,26,4.28,8.32037325,9.08493288,Jan-26,nil,12.94712286,,,,,,,,,,,,
10.25,67.75,2024,27,3.49,6.784603421,9.337398707,Jan-27,nil,13.47200622,,,,,,,,,,,,
10.25,67.75,2024,28,4.84,9.409020218,9.918811901,Jan-28,nil,13.25816485,,,,,,,,,,,,
10.25,67.75,2024,29,5.78,11.23639191,11.93802693,Jan-29,nil,16.42690513,,,,,,,,,,,,
10.25,67.75,2024,30,5.46,10.61430793,11.59953003,Jan-30,nil,16.01866252,,,,,,,,,,,,
10.25,67.75,2024,31,4.74,9.214618974,9.747346594,Jan-31,nil,12.90824261,,,,,,,,,,,,
10.25,67.75,2024,32,5.73,11.13919129,8.699796731,Feb-01,nil,11.13919129,,,,,,,,,,,,
10.25,67.75,2024,33,5.95,11.56687403,11.06381818,Feb-02,nil,15.22161742,,,,,,,,,,,,
10.25,67.75,2024,34,5.79,11.25583204,11.46694497,Feb-03,nil,15.0466563,,,,,,,,,,,,
10.25,67.75,2024,35,4.54,8.825816485,9.356156722,Feb-04,nil,13.2970451,,,,,,,,,,,,
10.25,67.75,2024,36,5.7,11.08087092,11.14754713,Feb-05,nil,14.30793157,,,,,,,,,,,,
10.25,67.75,2024,37,5.89,11.45023328,12.14189244,Feb-06,nil,16.15474339,,,,,,,,,,,,
10.25,67.75,2024,38,8.07,15.6881804,15.99444763,Feb-07,nil,20.1399689,,,,,,,,,,,,
10.25,67.75,2024,39,7.35,14.28849145,15.79655057,Feb-08,nil,20.62597201,,,,,,,,,,,,
10.25,67.75,2024,40,7.63,14.83281493,13.74391217,Feb-09,nil,16.93234837,,,,,,,,,,,,
10.25,67.75,2024,41,6.46,12.55832037,13.21519195,Feb-10,nil,17.90435459,,,,,,,,,,,,
10.25,67.75,2024,42,6.19,12.03343701,13.24546056,Feb-11,nil,16.67962675,,,,,,,,,,,,
10.25,67.75,2024,43,6.18,12.01399689,12.99990109,Feb-12,nil,16.15474339,,,,,,,,,,,,
10.25,67.75,2024,44,7.27,14.13297045,12.57059835,Feb-13,nil,15.86314152,,,,,,,,,,,,
10.25,67.75,2024,45,6.24,12.13063764,14.21712573,Feb-14,nil,18.54587869,,,,,,,,,,,,
10.25,67.75,2024,46,6.91,13.43312597,14.27109765,Feb-15,nil,18.66251944,,,,,,,,,,,,
10.25,67.75,2024,47,6.26,12.16951788,11.56073504,Feb-16,nil,14.67729393,,,,,,,,,,,,
10.25,67.75,2024,48,5.31,10.32270607,10.28195002,Feb-17,nil,12.15007776,,,,,,,,,,,,
10.25,67.75,2024,49,3.34,6.493001555,7.10732654,Feb-18,nil,10.08942457,,,,,,,,,,,,
10.25,67.75,2024,50,4.18,8.125972006,6.858953371,Feb-19,nil,10.84758942,,,,,,,,,,,,
10.25,67.75,2024,51,4.72,9.175738725,10.08874246,Feb-20,nil,15.37713841,,,,,,,,,,,,
10.25,67.75,2024,52,4.64,9.020217729,11.29488281,Feb-21,nil,14.93001555,,,,,,,,,,,,
10.25,67.75,2024,53,5.4,10.49766719,11.29889021,Feb-22,nil,14.07465008,,,,,,,,,,,,
10.25,67.75,2024,54,5.52,10.73094868,11.44230376,Feb-23,nil,13.78304821,,,,,,,,,,,,
10.25,67.75,2024,55,5.43,10.55598756,12.72466986,Feb-24,nil,18.07931571,,,,,,,,,,,,
10.25,67.75,2024,56,5.15,10.01166407,11.65759461,Feb-25,nil,17.14618974,,,,,,,,,,,,
10.25,67.75,2024,57,4.93,9.583981337,8.235535865,Feb-26,nil,12.16951788,,,,,,,,,,,,
10.25,67.75,2024,58,5.95,11.56687403,11.36266746,Feb-27,nil,15.51321928,,,,,,,,,,,,
10.25,67.75,2024,59,6.56,12.75272162,11.36803907,Feb-28,nil,14.36625194,,,,,,,,,,,,
10.25,67.75,2024,60,5.21,10.12830482,11.02238002,Feb-29,nil,14.11353033,,,,,,,,,,,,
12.75,69.75,2023,182,8.07,,15.6881804,17.47198539,Jul-01,1,20.76205288,,,,,,,,,,,
12.75,69.75,2023,183,11.28,,21.92846034,19.85409492,Jul-02,1,23.4059098,,,,,,,,,,,
12.75,69.75,2023,184,11.24,,21.85069984,19.92612753,Jul-03,1,23.38646967,,,,,,,,,,,
12.75,69.75,2023,185,11.32,,22.00622084,20.91687958,Jul-04,1.5,28.05209953,,,,,,,,,,,
12.75,69.75,2023,187,13.47,,26.18584759,23.58191235,Jul-06,1.5,26.49688958,,,,,,,,,,,
12.75,69.75,2023,188,10.28,,19.9844479,20.58813319,Jul-07,1.5,24.16407465,,,,,,,,,,,
12.75,69.75,2023,189,10.52,,20.45101089,20.55185653,Jul-08,1.5,23.28926905,,,,,,,,,,,
12.75,69.75,2023,190,8.82,,17.14618974,18.258269,Jul-09,1,21.5007776,,,,,,,,,,,
12.75,69.75,2023,191,6.79,,13.19984448,13.82192846,Jul-10,-,17.53499222,,,,,,,,,,,
12.75,69.75,2023,192,6.58,,12.79160187,14.47085014,Jul-11,-,17.34059098,,,,,,,,,,,
12.75,69.75,2023,193,7.6,,14.77449456,14.799489,Jul-12,-,17.96267496,,,,,,,,,,,
12.75,69.75,2023,194,6.75,,13.12208398,17.04291407,Jul-13,-,22.12286159,,,,,,,,,,,
12.75,69.75,2023,195,6.97,,13.54976672,17.86932734,Jul-14,1,22.31726283,,,,,,,,,,,
12.75,69.75,2023,196,6.62,,12.86936236,15.17996001,Jul-15,-,18.3903577,,,,,,,,,,,
12.75,69.75,2023,197,8.37,,16.27138414,16.7728352,Jul-16,-,19.45956454,,,,,,,,,,,
12.75,69.75,2023,198,8.81,,17.12674961,17.92934903,Jul-17,1,20.31493002,,,,,,,,,,,
12.75,69.75,2023,199,10.74,,20.87869362,21.23555876,Jul-18,1.5,22.78382582,,,,,,,,,,,
12.75,69.75,2023,200,10.75,,20.89813375,21.84757554,Jul-19,1.5,24.35847589,,,,,,,,,,,
12.75,69.75,2023,201,11.23,,21.83125972,20.41629638,Jul-20,1.5,22.49222395,,,,,,,,,,,
12.75,69.75,2023,202,10.23,,19.88724728,18.98206649,Jul-21,1,21.5785381,,,,,,,,,,,
12.75,69.75,2023,204,11.22,,21.8118196,21.83976477,Jul-23,1.5,24.37791602,,,,,,,,,,,
12.75,69.75,2023,205,11.09,,21.55909798,18.33934023,Jul-25,1,23.89191291,,,,,,,,,,,
11.25,69.25,2023,244,5.97,,11.60575428,8.399522328,Sep-01,nil,11.60575428,,,,,,,,,,,
17.25,71.25,2023,244,3.28,,6.376360809,7.950316596,Sep-02,nil,11.81959565,,,,,,,,,,,
14.25,73.25,2023,245,4.84,,9.409020218,8.378867196,Sep-03,nil,13.88024883,,,,,,,,,,,
11.75,70.75,2023,246,4.19,,8.145412131,8.590278549,Sep-04,nil,11.7807154,,,,,,,,,,,
17.75,72.75,2023,246,5.76,,11.19751166,11.53997028,Sep-05,nil,14.98833593,,,,,,,,,,,
15.25,70.25,2023,247,5.47,,10.63374806,9.782201177,Sep-06,nil,12.90824261,,,,,,,,,,,
12.25,72.25,2023,248,6.34,,12.32503888,10.98228172,Sep-07,nil,15.16329705,,,,,,,,,,,
18.75,69.75,2023,248,3.85,,7.4844479,10.67974478,Sep-08,nil,14.8911353,,,,,,,,,,,
15.75,71.75,2023,249,5.46,,10.61430793,10.88699039,Sep-09,nil,13.58864697,,,,,,,,,,,
13.25,69.25,2023,250,7.38,,14.34681182,14.49816707,Sep-10,nil,16.36858476,,,,,,,,,,,
19.25,71.25,2023,250,8.61,,16.73794712,16.42083009,Sep-11,nil,19.44012442,,,,,,,,,,,
16.25,73.25,2023,251,6.42,,12.48055988,15.01263608,Sep-12,nil,18.3903577,,,,,,,,,,,
13.75,70.75,2023,252,8.51,,16.54354588,17.23627388,Sep-13,1,18.81804044,,,,,,,,,,,
19.75,72.75,2023,252,8.25,,16.03810264,14.33362031,Sep-14,nil,17.32115086,,,,,,,,,,,
17.25,70.25,2023,253,7.59,,14.75505443,14.56846395,Sep-15,nil,15.9214619,,,,,,,,,,,
14.25,72.25,2023,254,7.6,,14.77449456,14.26019912,Sep-16,nil,15.70762053,,,,,,,,,,,
11.75,69.75,2023,255,5.99,,11.64463453,13.17363503,Sep-17,nil,15.16329705,,,,,,,,,,,
17.75,71.75,2023,255,6.34,,12.32503888,12.45799545,Sep-18,nil,14.54121306,,,,,,,,,,,
15.25,69.25,2023,256,7.32,,14.23017107,12.94087425,Sep-19,nil,15.43545879,,,,,,,,,,,
12.25,71.25,2023,257,5.8,,11.27527216,12.22141607,Sep-20,nil,15.10497667,,,,,,,,,,,
18.25,73.25,2023,257,3.95,,7.678849145,13.27100922,Sep-21,nil,16.15474339,,,,,,,,,,,
15.75,70.75,2023,258,7.72,,15.00777605,12.21568818,Sep-22,nil,15.1244168,,,,,,,,,,,
12.75,72.75,2023,259,7.64,,14.85225505,16.04417768,Sep-23,nil,17.92379471,,,,,,,,,,,
19.25,70.25,2023,259,6.87,,13.35536547,11.68472978,Sep-24,nil,16.50466563,,,,,,,,,,,
16.25,72.25,2023,260,7.31,,14.21073095,13.66345673,Sep-25,nil,17.12674961,,,,,,,,,,,
13.75,69.75,2023,261,6.95,,13.51088647,16.09694373,Sep-26,nil,19.55676516,,,,,,,,,,,
19.75,71.75,2023,261,8.61,,16.73794712,11.83122501,Sep-27,nil,17.16562986,,,,,,,,,,,
17.25,69.25,2023,262,9.07,,17.63219285,13.03495057,Sep-28,nil,17.78771384,,,,,,,,,,,
14.25,71.25,2023,263,6.62,,12.86936236,13.49561209,Sep-29,nil,16.29082426,,,,,,,,,,,
11.25,73.25,2023,264,3.98,,7.737169518,12.0676308,Sep-30,nil,16.67962675,,,,,,,,,,,
17.75,70.75,2023,264,7.4,,14.38569207,11.14509276,Oct-01,nil,15.64930016,,,,,,,,,,,
14.75,72.75,2023,265,6.39,,12.4222395,10.18836092,Oct-02,nil,13.89968896,,,,,,,,,,,
12.25,70.25,2023,266,4.89,,9.50622084,11.06698511,Oct-03,nil,14.05520995,,,,,,,,,,,
18.25,72.25,2023,266,5.48,,10.65318818,10.89549545,Oct-04,nil,14.77449456,,,,,,,,,,,
15.75,69.75,2023,267,6.76,,13.14152411,10.78735975,Oct-05,nil,13.62752722,,,,,,,,,,,
12.75,71.75,2023,268,5.34,,10.38102644,10.89671045,Oct-06,nil,13.23872473,,,,,,,,,,,
19.25,69.25,2023,268,6.91,,13.43312597,11.32352533,Oct-07,nil,13.43312597,,,,,,,,,,,
16.25,71.25,2023,269,6.07,,11.80015552,10.5462675,Oct-08,nil,14.91057543,,,,,,,,,,,
13.25,73.25,2023,270,6.54,,12.71384137,13.82453205,Oct-09,nil,18.72083981,,,,,,,,,,,
19.75,70.75,2023,270,6.2,,12.05287714,16.64317652,Oct-10,nil,20.47045101,,,,,,,,,,,
16.75,72.75,2023,271,10.66,,20.72317263,15.16537992,Oct-11,nil,22.43390358,,,,,,,,,,,
14.25,70.25,2023,272,9.14,,17.76827372,17.67697456,Oct-12,1,27.19673406,,,,,,,,,,,
11.25,72.25,2023,273,7.9,,15.35769829,18.124271,Oct-13,nil,27.06065319,,,,,,,,,,,
17.75,69.75,2023,273,7.62,,14.81337481,14.52177294,Oct-14,nil,18.09875583,,,,,,,,,,,
14.75,71.75,2023,274,8.82,,17.14618974,14.97861586,Oct-15,nil,19.86780715,,,,,,,,,,,
12.25,69.25,2023,275,4.81,,9.350699844,10.558244,Oct-16,nil,13.23872473,,,,,,,,,,,
18.25,71.25,2023,275,5.55,,10.78926905,8.804814208,Oct-17,nil,12.73328149,,,,,,,,,,,
15.25,73.25,2023,276,4.68,,9.097978227,7.08592535,Oct-18,nil,9.447900467,,,,,,,,,,,
12.75,70.75,2023,277,2.53,,4.918351477,6.405694568,Oct-19,nil,11.56687403,,,,,,,,,,,
18.75,72.75,2023,277,3.78,,7.34836703,6.40517385,Oct-20,nil,11.46967341,,,,,,,,,,,
16.25,70.25,2023,278,2.52,,4.898911353,6.363342868,Oct-21,nil,10.86702955,,,,,,,,,,,
13.25,72.25,2023,279,3.84,,7.465007776,7.028299267,Oct-22,nil,10.32270607,,,,,,,,,,,
19.75,69.75,2023,279,3.32,,6.454121306,6.796232782,Oct-23,nil,11.02255054,,,,,,,,,,,
16.75,71.75,2023,280,5.12,,9.953343701,5.944338758,Oct-24,nil,11.13919129,,,,,,,,,,,
14.25,69.25,2023,281,2.68,,5.209953344,7.735607365,Oct-25,nil,11.17807154,,,,,,,,,,,
11.25,71.25,2023,282,2.29,,4.451788491,5.597540824,Oct-26,nil,10.65318818,,,,,,,,,,,
17.25,73.25,2023,282,4.49,,8.728615863,6.414893912,Oct-27,nil,10.88646967,,,,,,,,,,,
14.75,70.75,2023,283,4.64,,9.020217729,9.2656493,Oct-28,nil,14.19129082,,,,,,,,,,,
11.75,72.75,2023,284,1.88,,3.65474339,9.124014108,Oct-29,nil,14.15241058,,,,,,,,,,,
18.25,70.25,2023,284,5.68,,11.04199067,8.566672684,Oct-30,nil,13.47200622,,,,,,,,,,,
15.25,72.25,2023,285,6.8,,13.2192846,9.034797823,Oct-31,nil,13.53032659,,,,,,,,,,,
10.25,67.75,2023,305,3.33,6.473561430793158,7.51403440560967,Nov-01,,11.469673405909798
10.25,67.75,2023,306,3.37,6.551321928460343,8.76348871790674,Nov-02,,11.780715396578538
10.25,67.75,2023,307,4.53,8.80637636080871,9.980031240620994,Nov-03,,13.472006220839814
10.25,67.75,2023,308,2.56,4.976671850699845,9.710512673596902,Nov-04,,13.821928460342148
10.25,67.75,2023,309,4.03,7.834370139968897,8.313381626695042,Nov-05,,14.949455676516331
10.25,67.75,2023,310,6.69,13.005443234836704,13.974891544569044,Nov-06,1.0,29.043545878693624
10.25,67.75,2023,311,5.26,10.225505443234836,13.023689667403344,Nov-07,1.0,23.989113530326595
10.25,67.75,2023,312,5.34,10.381026438569208,7.14006780169709,Nov-08,,16.018662519440127
10.25,67.75,2023,313,3.14,6.1041990668740285,7.325942675506807,Nov-09,,12.363919129082428
10.25,67.75,2023,314,4.56,8.864696734059098,9.247957081662165,Nov-10,,13.33592534992224
10.25,67.75,2023,315,4.53,8.80637636080871,11.188985293716406,Nov-11,1.0,15.610419906687405
10.25,67.75,2023,316,5.78,11.236391912908244,10.525974734659355,Nov-12,1.0,18.77916018662519
10.25,67.75,2023,317,3.71,7.212286158631415,9.477572235409674,Nov-13,,14.5800933125972
10.25,67.75,2023,318,1.77,3.44090202177294,7.564425254426892,Nov-14,,11.702954898911353
10.25,67.75,2023,319,4.52,8.786936236391913,9.446024665084172,Nov-15,,12.422239502332816
10.25,67.75,2023,320,4.75,9.234059097978228,10.060179121988488,Nov-16,1.0,12.111197511664075
10.25,67.75,2023,321,4.81,9.350699844479005,9.165336552890782,Nov-17,,12.34447900466563
10.25,67.75,2023,322,4.7,9.136858475894249,8.536857793784618,Nov-18,,11.625194401244167
10.25,67.75,2023,323,5.72,11.119751166407465,9.665322910698206,Nov-19,,12.111197511664075
10.25,67.75,2023,324,6.01,11.683514774494556,9.837981910452648,Nov-20,,13.95800933125972
10.25,67.75,2023,325,4.84,9.409020217729394,10.87981910452648,Nov-21,1.0,13.899688958009332
10.25,67.75,2023,326,5.03,9.778382581648524,11.633976562713158,Nov-22,1.0,14.891135303265942
10.25,67.75,2023,327,4.93,9.58398133748056,12.245402581102836,Nov-23,1.0,15.124416796267498
10.25,67.75,2023,328,4.71,9.156298600311043,11.165196720416906,Nov-24,1.0,20.3343701399689
10.25,67.75,2023,329,3.62,7.037325038880249,10.407884505197677,Nov-25,1.0,19.32348367029549
10.25,67.75,2023,330,4.56,8.864696734059098,8.000463834547489,Nov-26,,13.996889580093312
10.25,67.75,2023,331,2.94,5.715396578538103,7.541148263348886,Nov-27,,13.180404354587871
10.25,67.75,2023,332,3.39,6.590202177293936,10.032724209434942,Nov-28,1.0,14.17185069984448
10.25,67.75,2023,333,3.85,7.484447900466564,11.15547665820851,Nov-29,1.0,13.219284603421462
10.25,67.75,2023,334,4.88,9.48678071539658,11.232810837357782,Nov-30,1.0,14.405132192846036
10.25,67.75,2023,335,8.2,15.940902021772938,13.00910957409075,Dec-01,1.0,17.437791601866255
10.25,67.75,2023,336,5.63,10.9447900466563,11.284906960246651,Dec-02,1.0,17.06842923794712
10.25,67.75,2023,337,4.96,9.64230171073095,11.61121115385665,Dec-03,1.0,15.68818040435459
10.25,67.75,2023,338,4.61,8.96189735614308,13.288348203323238,Dec-04,1.0,18.95412130637636
10.25,67.75,2023,339,4.46,8.670295489891135,12.956757660091132,Dec-05,1.0,21.753499222395025
10.25,67.75,2023,340,2.37,4.607309486780716,9.23866333797168,Dec-06,,17.010108864696736
10.25,67.75,2023,341,7.93,15.41601866251944,10.23607814247906,Dec-07,1.0,15.552099533437016
10.25,67.75,2023,342,9.03,17.55443234836703,11.373581211972388,Dec-08,1.0,17.86547433903577
10.25,67.75,2023,343,5.27,10.244945567651632,11.840314725382663,Dec-09,1.0,15.454898911353034
10.25,67.75,2023,344,5.43,10.555987558320371,10.111848926359444,Dec-10,1.0,16.213063763608087
10.25,67.75,2023,345,4.71,9.156298600311043,9.104543532236502,Dec-11,,12.34447900466563
10.25,67.75,2023,346,3.99,7.756609642301712,9.935012005129463,Dec-12,,14.17185069984448
10.25,67.75,2023,347,4.14,8.048211508553655,10.452903740689203,Dec-13,1.0,13.744167962674965
10.25,67.75,2023,348,3.22,6.259720062208399,9.72969700690295,Dec-14,,13.569206842923796
10.25,67.75,2023,349,5.83,11.333592534992224,9.326314425254427,Dec-15,,13.08320373250389
10.25,67.75,2023,350,5.87,11.41135303265941,11.619737524214894,Dec-16,1.0,14.0746500777605
10.25,67.75,2023,351,6.11,11.87791601866252,13.00100952225042,Dec-17,1.0,19.304043545878695
10.25,67.75,2023,352,5.18,10.069984447900469,13.657284248724457,Dec-18,1.0,21.111975116640743
10.25,67.75,2023,353,5.39,10.478227060653188,13.42263853646558,Dec-19,1.0,19.63452566096423
10.25,67.75,2023,354,5.94,11.547433903576984,11.335809391285368,Dec-20,1.0,18.07931570762053
10.25,67.75,2023,355,7.75,15.066096423017107,10.869843251207335,Dec-21,1.0,15.066096423017107
10.25,67.75,2023,356,4.91,9.545101088646968,8.376306239938883,Dec-22,,11.19751166407465
10.25,67.75,2023,357,5.67,11.022550544323485,10.66810932853128,Dec-23,1.0,12.616640746500778
10.25,67.75,2023,358,6.7,13.0248833592535,11.526970614717198,Dec-24,1.0,14.346811819595644
10.25,67.75,2023,359,6.05,11.761275272161742,10.801461760934217,Dec-25,1.0,13.413685847589424
10.25,67.75,2023,360,6.19,12.033437013996892,11.905029876401738,Dec-26,1.0,14.444012441679629
10.25,67.75,2023,361,7.19,13.97744945567652,13.917509072058062,Dec-27,1.0,17.671073094867808
10.25,67.75,2023,362,5.18,10.069984447900469,11.7318592944258,Dec-28,1.0,17.39891135303266
10.25,67.75,2023,363,5.83,11.333592534992224,10.59316253308232,Dec-29,1.0,14.618973561430794
10.25,67.75,2023,364,7.1,13.80248833592535,10.697781097377971,Dec-30,1.0,13.80248833592535
10.25,67.75,2023,365,8.66,16.83514774494557,10.72600338326376,Dec-31,1.0,16.83514774494557
